id,package,domain,job_family,tier,V,R,wave,raters,recommendation,S1,S2,S3,U1,U2,U3,Q1,Q2,Q3,Q4,R1,R2,R3,H1,H2,G1,G2,G3,G4,capabilities,experts,evidence_level,confidence,one_liner
"kwp/legal/legal-response","anthropics/knowledge-work-plugins","legal","法务回复","B","65.2","79.0","W1","2","rewrite","3","4","2","3","3","2.5","4","4","3.5","1","5","3.5","2","5","5","pass","pass","pass","pass","artifact profile connector:email connector:calendar","legal","E2","med","按模板生成数据主体请求、诉讼保全、供应商、NDA 等常见法务回复，内置升级触发检查"
"legal/legal-clinic/deadlines","anthropics/claude-for-legal","legal","事项管理","C","65.2","52.0","—","1","reference","4","3","2","4","3","1","4","4","5","1","3","3","1","3","5","pass","pass","pass","pass","profile artifact","legal ops","E3","med","跨案件期限台账：新增、滚动报告、更新、完成、关闭，按阈值预警，不代算期限"
"legal/corporate-legal/written-consent","anthropics/claude-for-legal","legal","公司治理文书","B","65.0","56.0","W2","2","rewrite","3","3.5","1.5","2.5","3.5","2","4.5","5","5","1","3","3","2","3","5","pass","pass","pass","pass","profile upload connector:docs artifact office_gen web","legal exec","E2","med","以先例库为基础按公司格式起草董事会/委员会一致书面同意，附签署清单与州法通知核查"
"legal/litigation-legal/brief-section-drafter","anthropics/claude-for-legal","legal","诉讼文书","C","65.0","46.0","—","1","reference","3","3","1","3","5","1","5","4","5","1","3","2","1","3","5","pass","pass","pass","pass","upload artifact profile connector:other","legal","E2","med","按事务所风格与案件理论起草诉状章节，逐条记录引注并标注待核实，拒绝代写证人陈述"
"kwp/sales/deal-signals","anthropics/knowledge-work-plugins","sales","风险评估","B","64.9","59.0","W3","2","reference","3","3","2","5","2","2","3.5","4","5","1","2","3.5","4.5","5","5","pass","pass","pass","pass","upload artifact connector:crm connector:email connector:transcript scheduler profile","sales","E2","med","定期扫描客户盘，只报告越过阈值的交易信号（沉寂、滑期、冠军变动、竞品提及等）"
"legal/ai-governance-legal/ai-inventory","anthropics/claude-for-legal","legal","AI 系统台账","B","64.9","54.0","W2","2","rewrite","3.5","4","2.5","2","3","2","4","4","5","1","3","3","1.5","3","5","pass","pass","pass","pass","profile artifact","legal engineering product","E2","med","按欧盟 AI 法案逐系统登记 AI 系统的角色（提供者/部署者等）与风险等级，并引导分类与复评"
"fs/financial-analysis/deck-refresh","anthropics/financial-services","finance","演示文稿更新","B","64.9","59.0","W3","2","rewrite","3","1","3.5","3.5","3","4","4","4.5","4","1","1.5","4","5","4","4","pass","pass","pass","pass","upload python office_gen","finance ops","E2","high","用新数字更新已有 deck 的所有出现位置，先出变更计划审批再最小改动"
"fs/operations/kyc-rules","anthropics/financial-services","finance","KYC 规则评级","B","64.7","63.0","W3","2","rewrite","3.5","3","2.5","4","3","2.5","3","3.5","4.5","1.5","2.5","4","3.5","4","4","pass","pass","pass","fixable","upload connector:other","legal finance ops","E2","med","按机构 KYC/AML 规则表对开户记录评级、逐条引用规则并路由处置"
"fs/investment-banking/pitch-deck","anthropics/financial-services","finance","推介材料","B","64.7","44.0","W3","2","rewrite","3","2","3","3","4","3","3","5","3.5","2","1","3","4","4","4","pass","pass","pass","pass","upload python office_gen","finance","E3","med","用源数据填充投行 pitch deck 模板，按验证-修复循环保证版式与跨页一致"
"kwp/small-business/inventory-planner","anthropics/knowledge-work-plugins","ops","库存补货","C","64.6","88.0","—","1","reference","3","2","2","3","4","1","5","5","4","1","5","3","5","5","5","pass","pass","pass","pass","upload artifact connector:other connector:email","ops","E2","med","按 7/28 天销速预测断货日、按提前期定补货量、识别滞销与积压，起草采购单与供应商邮件"
"kwp/product-management/metrics-review","anthropics/knowledge-work-plugins","product-management","指标复盘","B","64.5","84.0","W1","2","rewrite","3","2.5","3.5","4","3","3.5","3.5","3.5","2.5","0","4","4","5","5","5","pass","pass","pass","pass","upload connector:other artifact","product data exec","E2","med","按周/月/季审阅产品指标，输出记分卡、趋势归因、亮点与隐忧及行动建议"
"kwp/small-business/cash-flow-snapshot","anthropics/knowledge-work-plugins","finance","现金流预测","B","64.5","77.0","W1","2","rewrite","2.5","1.5","2.5","2.5","4","3","4","5","4","1.5","4.5","3","3.5","5","5","pass","pass","pass","pass","upload artifact office_gen connector:other","finance exec","E2","med","基于应收应付与历史回款时滞生成 30/60/90 天现金流预测、置信区间与具名风险，附 XLSX"
"kwp/small-business/seo-ai-visibility","anthropics/knowledge-work-plugins","seo","SEO 审计","B","64.4","78.0","W1","2","rewrite","2.5","2","2","2","4","2.5","4.5","4.5","5","1.5","5","3","2.5","5","5","pass","pass","pass","pass","web artifact connector:other","seo marketing","E2","med","审计并修复搜索与 AI 助手可见性：爬虫可达、可渲染、llms.txt、schema、事实清晰，产出可粘贴修复"
"fs/private-equity/ic-memo","anthropics/financial-services","finance","投资备忘录","B","64.3","90.0","W1","2","rewrite","4","2","3","2","5","4","2.5","3","3","1","5","4","4","4","4","pass","pass","pass","fixable","upload office_gen","finance exec","E2","high","综合尽调、财务与交易条款起草九章结构的投委会备忘录"
"legal/corporate-legal/cold-start-interview","anthropics/claude-for-legal","legal","档案访谈","B","64.3","50.0","W2","2","rewrite","3.5","4.5","2","1","3.5","2","4","4.5","4.5","1","3","2","2","3","5","pass","pass","pass","pass","profile upload connector:docs connector:other artifact","legal","E2","med","模块化访谈公司法务（并购/董秘/上市公司/主体管理），从种子文件抽取格式与阈值写入执业档案，并支持单笔交易上下文"
"alir/marketing-skill/content-production","alirezarezvani/claude-skills","marketing","内容创作","B","64.2","86.0","W1","1","rewrite","3","3","3","4","3","3","3","4","3","3","5","4","3","4","3","pass","pass","pass","pass","web artifact python","marketing seo","E3","med","长文内容生产三模式：调研出简报、起草、SEO/可读性/品牌语调优化与发布门禁"
"legal/litigation-legal/matter-update","anthropics/claude-for-legal","legal","事项管理","B","64.0","60.0","W2","2","reference","4","3.5","2","3.5","1.5","3","3.5","4","4.5","1","3","3","3","3","5","pass","pass","pass","pass","profile artifact","legal","E2","med","为事项追加带日期的事件并刷新台账字段，强制重要性复核与和解接受闸门"
"fs/fund-admin/gl-recon","anthropics/financial-services","finance","对账","B","64.0","57.0","W3","2","rewrite","3.5","2","2.5","5","3","2.5","3.5","3.5","3.5","1.5","1.5","4","4.5","4","4","pass","pass","pass","pass","upload python connector:other","finance ops","E2","med","总账与子账按键全外连接匹配、分桶并标注可能原因，输出差异报告"
"mkt/ad-creative","coreyhaines31/marketingskills","marketing","广告创意","B","63.9","71.0","W1","2","rewrite","3","3","2","3.5","3","2","4","4.5","3.5","3","4.5","3","2","4","4","pass","fixable","pass","pass","upload artifact profile connector:other","marketing","E2","med","按平台字数规格批量生成与迭代广告文案/创意，基于真实素材接地并出评审页"
"kwp/sales/daily-briefing","anthropics/knowledge-work-plugins","sales","状态汇报","B","63.9","67.0","W2","2","reference","3.5","2.5","2","5","2","2.5","2.5","4","5","0.5","3.5","3","3.5","5","5","pass","pass","pass","pass","upload artifact connector:calendar connector:crm connector:email connector:transcript connector:chat scheduler","sales","E2","med","晨间汇总当日会议及客户背景、即将成交商机、待回复客户邮件与当日三件要事"
"dp/tam-sam-som-calculator","deanpeters/Product-Manager-Skills","product","市场规模测算","D","63.6","90.0","—","1","reject","3","1","4","2","4","4","4","5","3","2","5","4","4","3","3","fail","pass","pass","pass","web artifact python","product research finance","E2","high","交互式 TAM/SAM/SOM 测算：三种入口模式、自适应提问、自下而上配方、带引用与假设的输出模板"
"fs/equity-research/earnings-analysis","anthropics/financial-services","finance","投研报告","B","63.6","45.0","W3","2","rewrite","3","1","3","3","5","3.5","3.5","4","3","1","1.5","3","3","4","4","pass","pass","pass","fixable","web upload python office_gen","finance research","E3","med","财报发布后 24-48 小时内生成 8-12 页含超预期/不及预期分析的业绩点评报告"
"fs/financial-analysis/lbo-model","anthropics/financial-services","finance","LBO 模型","B","63.6","44.0","W3","2","rewrite","2.5","1.5","3","2","4.5","3.5","4","4.5","3.5","2","1","3","4","4","4","pass","pass","fixable","pass","upload python office_gen","finance","E2","med","按模板填充 LBO 模型公式：资金来源运用、债务表、现金扫款与回报"
"mkt/sales-enablement","coreyhaines31/marketingskills","sales","销售赋能","B","63.4","85.0","W1","2","rewrite","3.5","3.5","3.5","2.5","3.5","3.5","2.5","4","0.5","3","5","3.5","3.5","4","4","pass","pass","pass","pass","upload artifact office_gen profile","sales marketing","E2","high","制作销售物料：演示文稿、一页纸、异议处理、ROI 计算器、演示脚本、提案模板与销售手册"
"kwp/data/analyze","anthropics/knowledge-work-plugins","data","数据分析","B","63.4","76.0","W2","2","rewrite","3","1","4.5","4","3","4","2.5","3.5","2.5","1","3.5","3.5","5","5","5","pass","pass","pass","pass","upload connector:warehouse sql python artifact","data product finance","E2","med","把自然语言数据问题分为速答/完整分析/正式报告三档，取数、校验后呈现结论"
"mkt/copy-editing","coreyhaines31/marketingskills","marketing","文案","B","63.4","81.0","W1","2","rewrite","3","3","4","4","2","3","3","4","2","3","5","3.5","2.5","4","4","pass","pass","pass","pass","upload artifact profile","marketing sales","E2","med","以“七轮扫查”编辑既有营销文案，配专家小组打分与内容刷新判断"
"kwp/small-business/invoice-chase","anthropics/knowledge-work-plugins","finance","催收","B","63.3","72.0","W1","2","rewrite","2.5","3","2","3","2.5","2.5","3.5","5","5","1","4.5","2.5","3","5","5","pass","pass","pass","pass","upload artifact connector:email connector:other","finance","E2","med","拉应收账龄、交叉核对近期收款，按客户付款习惯起草不同语气的催款邮件，批准后发送"
"alir/marketing-skill/copywriting","alirezarezvani/claude-skills","marketing","文案","B","63.2","86.0","W1","1","rewrite","3","3","3","4","3","3","3","4","3","2","5","4","3","4","3","pass","pass","pass","pass","artifact python","marketing product","E2","med","转化型页面文案写作：首页/落地页/定价页的标题、CTA、分节结构与备选方案"
"fs/financial-analysis/ib-check-deck","anthropics/financial-services","finance","材料质检","B","63.0","55.0","W3","2","rewrite","3","1","3","3.5","3","4","3.5","4","3","3","2.5","3","3","4","4","pass","pass","pass","pass","upload python","finance","E3","med","对投行 deck 做数字一致性、数据叙事对齐、措辞与格式四维质检"
"fs/investment-banking/datapack-builder","anthropics/financial-services","finance","数据包","B","63.0","65.0","W2","2","rewrite","3","1","3","2","4.5","3.5","4","4.5","3.5","1","3.5","3","3","4","4","pass","pass","pass","fixable","upload web office_gen python","finance","E2","med","从 CIM、年报或网页抽取并标准化财务数据，搭建 8 页签数据包 Excel"
"legal/commercial-legal/amendment-history","anthropics/claude-for-legal","legal","合同审阅","B","63.0","69.0","W2","2","rewrite","3","2.5","3","2.5","3","3","3","4.5","5","1","3.5","3","4","3","5","pass","pass","pass","pass","upload artifact profile connector:other","legal","E2","med","按时间顺序整理主协议与各次修订，汇总变更或追踪某条款的现行有效文本"
"fs/financial-analysis/audit-xls","anthropics/financial-services","finance","模型审计","B","62.9","52.0","W3","2","rewrite","2.5","1","4","3","4","3.5","4.5","3.5","3","1","1.5","3.5","4","4","4","pass","pass","pass","pass","upload python","finance data","E2","med","按选区/工作表/全模型三档审计表格公式错误与财务模型完整性"
"legal/litigation-legal/demand-intake","anthropics/claude-for-legal","legal","诉讼文书","B","62.8","60.0","W2","1","rewrite","3","3","2","3","3","3","4","4","4","1","3","3","3","3","5","pass","pass","pass","pass","upload profile artifact","legal","E2","med","律师函起草前的结构化接案：姿态、事实、依据、筹码/BATNA、特权过滤与自认风险"
"mkt/seo-audit","coreyhaines31/marketingskills","seo","SEO 审计","B","62.8","76.0","W1","2","rewrite","3","2.5","3","2","4","2","4","3.5","3.5","3","4.5","3.5","2.5","4","4","pass","pass","pass","pass","web artifact profile browser","seo engineering","E2","med","按优先级审计站点可抓取/索引、技术、页面、内容与权威，含国际化 hreflang 细则与分级报告格式"
"kwp/sales/deal-advance-gap","anthropics/knowledge-work-plugins","sales","管道复盘","B","62.6","84.0","W1","1","reference","3","3","1","3","3","2","4","4","5","1","5","3","4","5","5","pass","pass","pass","pass","upload artifact connector:crm connector:email connector:transcript connector:chat profile","sales","E2","med","对单笔商机按阶段退出标准与资格框架列出推进缺口，排出关键路径与最早可信成交日"
"kwp/sales/expansion-whitespace","anthropics/knowledge-work-plugins","sales","客户经营计划","B","62.6","84.0","W1","1","reference","3","3","2","2","3","2","4","4","5","1","5","3","4","5","5","pass","pass","pass","pass","upload artifact connector:crm connector:email connector:transcript connector:chat profile","sales","E2","med","按产品、部门、地域、用量四维映射客户已购与可购空白，排序扩单打法并提议创建商机"
"kwp/sales/forecast","anthropics/knowledge-work-plugins","sales","销售预测","B","62.6","84.0","W1","1","rewrite","3","3","2","3","3","2","3","4","5","1","5","3","4","5","5","pass","pass","pass","pass","upload artifact connector:crm profile","sales","E2","med","把商机数据写成 commit/best-case/pipeline 预测叙述，含变化、风险与求助事项"
"kwp/sales/renewal-radar","anthropics/knowledge-work-plugins","sales","续约管理","B","62.6","84.0","W1","1","reference","3","3","2","3","3","2","3","4","5","1","5","3","4","5","5","pass","pass","pass","pass","upload artifact connector:crm connector:email connector:chat scheduler profile","sales support","E2","med","列出窗口内即将续约的客户，按信号评估风险与增购潜力并补齐续约商机记录"
"kwp/small-business/reactivate","anthropics/knowledge-work-plugins","sales","客户召回","B","62.6","74.0","W1","1","reference","3","3","2","2","3","2","4","4","5","1","5","2","3","5","5","pass","pass","pass","pass","upload artifact connector:crm connector:email connector:other","sales marketing","E2","med","按客户自身购买节奏找出沉寂客户并按价值排序，起草不推销的召回序列，遇投诉即停"
"fs/private-equity/portfolio-monitoring","anthropics/financial-services","finance","投后监控","B","62.6","94.0","W1","1","rewrite","4","2","3","3","3","4","3","3","3","1","5","4","5","4","4","pass","pass","pass","pass","upload artifact","finance","E2","med","解析组合公司月/季报，对比预算标红黄绿并检查契约合规"
"kwp/productivity/start","anthropics/knowledge-work-plugins","productivity","档案访谈","B","62.6","62.0","W2","1","rewrite","3","4","4","1","3","3","3","4","3","0","3","2","5","5","5","pass","pass","pass","pass","profile connector:chat connector:email connector:calendar connector:docs connector:pm","ops other","E3","med","首次初始化任务与记忆系统：从待办清单交互式解码黑话，可选扫描聊天/邮件/日历/文档建立档案"
"kwp/cowork-plugin-management/cowork-plugin-customizer","anthropics/knowledge-work-plugins","cowork-plugin-management","档案定制","B","62.6","56.0","W2","1","reference","3","4","4","1","3","3","3","4","3","0","3","1","5","5","5","pass","pass","pass","pass","connector:chat connector:docs connector:email profile","ops other","E2","med","从组织聊天/文档/邮件中学习工具与流程，替换插件占位符并打包定制插件"
"kwp/partner-built/common-room/account-research","anthropics/knowledge-work-plugins#partner-built","sales","客户研究","B","62.6","24.0","W3","1","reference","3","3","3","4","3","2","3","5","5","1","1","1","2","2","3","pass","pass","pass","pass","connector:other web","sales","E2","med","基于 Common Room 数据按四种模式研究账户，稀疏时如实说明并补网页检索"
"mkt/revops","coreyhaines31/marketingskills","sales","收入运营","B","62.5","83.0","W1","2","rewrite","3.5","3.5","3.5","2","3.5","2.5","3.5","3.5","1","3","5","3.5","3","4","4","pass","pass","pass","pass","artifact profile connector:crm","sales ops marketing","E2","med","设计线索生命周期、评分、路由、管道阶段、交接 SLA、审批分级与指标看板规格"
"legal/employment-legal/hiring-review","anthropics/claude-for-legal","legal","招聘","B","62.4","56.0","W2","1","reference","3","3","2","3","3","2","4","4","5","1","3","3","2","3","5","pass","pass","pass","pass","upload profile web artifact connector:other","legal hr","E2","med","审查录用通知与竞业/保密条款：按实际工作地判定法域、豁免分类、竞业可执行性与地方性要求"
"legal/litigation-legal/legal-hold","anthropics/claude-for-legal","legal","诉讼文书","C","62.4","52.0","—","1","reject","4","3","2","2","4","1","4","4","4","1","3","3","1","3","5","pass","pass","pass","pass","profile artifact office_gen","legal","E2","high","诉讼保全通知的签发、刷新、解除与组合状态报告，更新台账并排期刷新"
"kwp/marketing/competitive-brief","anthropics/knowledge-work-plugins","marketing","竞品分析","B","62.4","86.0","W1","2","rewrite","3","1.5","4","2.5","4","4","3.5","3.5","1.5","0","5","4","3","5","5","pass","pass","pass","pass","web artifact","marketing sales product","E2","med","网页调研竞品，输出定位与信息对比、内容缺口、机会与威胁，可延伸为销售战卡"
"kwp/partner-built/brand-voice/discover-brand","anthropics/knowledge-work-plugins#partner-built","marketing","品牌规范","B","62.4","60.0","W2","1","rewrite","4","4","3","1","3","3","3","5","4","1","3","3","3","2","3","pass","pass","pass","pass","connector:docs connector:chat connector:transcript subagent","marketing","E2","med","在 Notion/Drive/Slack/Gong 等平台检索品牌资料，分级排序并输出含待决问题的发现报告"
"kwp/sales/pipeline-review","anthropics/knowledge-work-plugins","sales","管道复盘","B","62.2","84.0","W1","1","rewrite","3","3","2","3","3","2","3","4","4","2","5","3","4","5","5","pass","pass","pass","pass","upload artifact connector:crm profile","sales","E2","med","按阶段汇总管道健康度：覆盖率、阶段滞留、转化基线与风险交易"
"kwp/operations/process-doc","anthropics/knowledge-work-plugins","ops","流程文档","B","62.2","94.0","W1","2","direct","4","3.5","4","2.5","3","4","2","3","0.5","0","5","4","5","5","5","pass","pass","pass","pass","artifact connector:docs connector:pm","ops","E2","med","把口头流程整理为含 RACI、流程图、详细步骤、例外与指标的 SOP"
"fs/fund-admin/accrual-schedule","anthropics/financial-services","finance","月结","B","62.2","70.0","W2","1","rewrite","3","2","3","2","3","3","4","4","5","1","3","4","4","4","4","pass","pass","pass","pass","upload connector:other","finance","E2","med","按计提政策逐项计算期末计提、引用支持凭证并起草待审批分录"
"mkt/content-strategy","coreyhaines31/marketingskills","marketing","内容策略","B","62.2","81.0","W1","2","rewrite","3","3","3","2.5","3","3","4","4","1.5","3","5","3.5","2.5","4","4","pass","pass","pass","pass","upload web artifact profile connector:transcript","marketing seo","E2","med","规划内容支柱与选题集群，从关键词/通话转录/调研中挖选题并加权排序"
"kwp/sales/account-tiering","anthropics/knowledge-work-plugins","sales","客户分层","B","62.2","84.0","W1","2","rewrite","3","3","2","2","3","2.5","3","4.5","4.5","1.5","5","3","4","5","5","pass","pass","pass","pass","upload artifact connector:crm connector:email profile","sales","E2","med","按 ICP 契合度与互动度两轴对客户清单打分分层，并给出每层推荐动作"
"kwp/engineering/incident-response","anthropics/knowledge-work-plugins","engineering","事故响应","B","62.2","88.0","W1","1","rewrite","4","2","3","2","4","3","3","4","2","0","5","3","5","5","5","pass","fixable","pass","pass","connector:chat connector:other","engineering ops support","E2","med","事故分级、状态通报与无责复盘（含 5 Whys 与行动项）全流程"
"kwp/small-business/ad-manager","anthropics/knowledge-work-plugins","marketing","广告投放","B","62.0","70.0","W1","2","reference","2","2.5","2","3","3","2","4","5","5","1","4.5","2.5","2.5","5","5","pass","pass","pass","pass","upload artifact web connector:crm connector:other","marketing","E2","med","读广告表现（连接器或 CSV），核对平台与 CRM 归因，给出带金额影响的调整建议与文案，逐项审批后执行"
"legal/employment-legal/expansion-update","anthropics/claude-for-legal","legal","出海扩张","B","62.0","68.0","W2","1","reference","4","3","3","3","2","4","2","4","3","1","3","3","5","3","5","pass","pass","pass","pass","profile artifact connector:pm","legal hr ops","E2","med","更新出海扩张跟踪表：一次收集进展、重算被解锁事项、标记逾期并给出下一优先级"
"kwp/sales/schedule-meeting","anthropics/knowledge-work-plugins","sales","会议安排","B","62.0","60.0","W2","1","reference","3","1","4","4","1","2","3","5","5","2","3","3","3","5","5","pass","pass","pass","pass","connector:calendar connector:crm connector:email connector:other profile","sales support ops","E2","med","查日历、提议时间、起草或直接发送邀请，并把会议记入 CRM"
"mkt/ab-testing","coreyhaines31/marketingskills","marketing","实验设计","B","62.0","84.0","W1","1","rewrite","3","3","3","3","3","3","3","4","2","3","5","3","4","4","4","pass","pass","pass","pass","upload artifact profile","marketing product data","E2","med","设计 A/B 实验：假设、样本量、指标与护栏指标、结果解读与实验手册"
"mkt/copywriting","coreyhaines31/marketingskills","marketing","文案","B","62.0","76.0","W1","1","rewrite","3","3","3","3","3","3","3","4","2","3","5","3","2","4","4","pass","pass","pass","pass","artifact profile","marketing","E2","med","为首页/落地页/定价页等撰写转化文案，含页面结构、CTA 公式与备选方案注解"
"alir/c-level-agents/post-mortem","alirezarezvani/claude-skills","exec","复盘","B","62.0","62.0","W2","1","rewrite","4","4","3","1","3","4","3","4","2","1","3","2","5","4","3","pass","pass","pass","pass","profile artifact upload","exec ops","E2","med","按事前承诺的成功/止损标准为已执行决策打分，并复查当初异议与假设"
"mkt/pricing","coreyhaines31/marketingskills","product","定价","B","61.9","83.0","W1","2","rewrite","3","3","3","1.5","4","3.5","4","3","1","3.5","5","3.5","3","4","4","pass","pass","pass","pass","web artifact profile","product finance sales","E2","med","SaaS 定价与包装：价值指标、分档结构、初始定价法则、提价灰度与定价页双轴拆解"
"legal/employment-legal/cold-start-interview","anthropics/claude-for-legal","legal","档案访谈","C","61.8","46.0","—","1","reference","3","5","2","1","4","1","4","4","4","1","3","2","1","3","5","pass","pass","pass","pass","profile upload connector:other artifact","legal hr","E2","med","访谈劳动法务团队的员工所在法域足迹、审查触发条件与高风险标记，读取手册与解雇备忘生成法域升级表"
"fs/equity-research/thesis-tracker","anthropics/financial-services","finance","投资论点跟踪","B","61.8","88.0","W1","1","rewrite","3","4","3","4","3","4","3","3","1","0","5","3","5","4","4","pass","pass","pass","fixable","artifact upload","finance research","E2","med","维护持仓投资论点：支柱、风险、催化剂、更新日志与评分卡"
"kwp/sales/weekly-wrap","anthropics/knowledge-work-plugins","sales","状态汇报","B","61.8","74.0","W1","2","reference","4","2","2","4","2","2.5","2.5","4","4.5","0.5","4","3","4","5","5","pass","pass","pass","pass","upload artifact connector:crm connector:calendar connector:email connector:chat scheduler","sales","E2","med","周末汇总本周成交、推进、滑期与新建商机，并排出下周一要事，可发团队频道"
"mkt/ai-seo","coreyhaines31/marketingskills","seo","AI 搜索优化","B","61.6","76.0","W1","1","rewrite","3","3","3","2","3","2","4","4","3","3","5","3","2","4","4","pass","pass","pass","pass","web artifact profile","seo marketing","E2","med","面向 AI 答案引擎的可见性审计与优化：可抽取结构、权威信号、第三方存在与机读文件"
"kwp/finance/variance-analysis","anthropics/knowledge-work-plugins","finance","差异分析","B","61.6","90.0","W1","1","direct","3","1","4","3","3","4","4","3","1","2","5","4","4","5","5","pass","pass","pass","pass","upload artifact","finance exec data","E2","med","价量/费率组合/人头等差异分解、重要性阈值、差异叙述与瀑布桥"
"legal/litigation-legal/oc-status","anthropics/claude-for-legal","legal","邮件起草","B","61.6","60.0","W2","1","reference","4","3","2","4","2","2","3","4","4","1","3","3","3","3","5","pass","pass","pass","pass","connector:email profile artifact","legal","E2","med","按事项组合批量起草给外部律所的每周状态询问邮件，可生成 Gmail 草稿"
"fs/fund-admin/nav-tieout","anthropics/financial-services","finance","LP 报表核对","B","61.6","70.0","W2","1","rewrite","3","1","3","1","4","3","4","4","5","2","3","4","4","4","4","pass","pass","pass","pass","upload connector:other","finance","E2","med","依据 NAV 包独立重算 LP 资本账户并逐行比对 LP 报表"
"alir/project-management/meeting-analyzer","alirezarezvani/claude-skills","ops","会议沟通教练","B","61.6","86.0","W1","1","rewrite","3","2","3","3","3","3","4","5","3","1","5","4","3","4","3","pass","pass","pass","fixable","upload connector:transcript artifact","ops hr exec","E2","med","分析会议转录：发言占比、打断、回避冲突、口头禅、提问质量、主持与决策，出教练报告"
"legal/commercial-legal/escalation-flagger","anthropics/claude-for-legal","legal","升级处理","B","61.6","68.0","W2","1","rewrite","4","3","2","3","2","3","3","4","4","1","3","3","5","3","5","pass","pass","pass","pass","profile connector:chat connector:email artifact","legal","E2","med","按升级矩阵判断合同问题该由谁审批，并起草可直接决策的请示消息（不代发）"
"fs/equity-research/sector-overview","anthropics/financial-services","finance","行业研究","B","61.5","87.0","W1","2","rewrite","3","1.5","4","2.5","4.5","5","2.5","3","2","0","5","3.5","4","4","4","pass","pass","pass","fixable","web office_gen artifact","finance research product","E2","med","产出行业全景报告：市场规模、结构、竞争格局、估值与投资含义"
"alir/research-ops/research-finance","alirezarezvani/claude-skills","finance","研发预算","B","61.4","36.0","W3","1","reference","3","3","2","2","4","2","4","4","4","2","1","3","2","4","3","pass","pass","pass","pass","python upload profile artifact","finance research","E3","med","研发项目财务：含间接费率的多期预算、燃烧/跑道对里程碑、资本化 vs 费用化路由给具名财务负责人"
"fs/partner-built/spglobal/earnings-preview-beta","anthropics/financial-services","finance","财报前瞻","B","61.4","28.0","W3","1","rewrite","2","1","3","3","4","3","4","5","4","1","1","1","3","4","4","pass","fixable","pass","pass","connector:other artifact python","finance research","E2","med","基于 CapIQ 与 Kensho 数据生成 4-5 页带全链接附录的单公司财报前瞻 HTML 报告"
"fs/equity-research/initiating-coverage","anthropics/financial-services","finance","投研报告","B","61.4","28.0","W3","1","rewrite","3","1","3","1","5","3","4","5","3","1","1","1","3","4","4","pass","pass","pass","fixable","web upload python office_gen","finance research","E3","med","分 5 个独立任务产出 30-50 页首次覆盖报告：研究、建模、估值、图表、成稿"
"kwp/small-business/canva-creator","anthropics/knowledge-work-plugins","marketing","内容创作","B","61.3","27.0","W3","2","reference","3","2","1.5","2","4","1.5","3.5","5","4.5","1.5","1","1.5","2","5","5","pass","pass","pass","pass","connector:other connector:crm artifact","marketing","E2","med","把已批准的内容简报执行为完整活动：排期、Canva 设计、文案并在 HubSpot 暂存社媒帖"
"kwp/small-business/close-month","anthropics/knowledge-work-plugins","finance","月结","B","61.3","29.0","W3","2","reference","3.5","2.5","1.5","2.5","4","1.5","3","4","4.5","0.5","1","1.5","2.5","5","5","pass","pass","fixable","pass","connector:other office_gen artifact connector:email","finance","E2","med","串联对账、基于关账数重做现金预测、发布关账包的三段式月结流程"
"kwp/small-business/report-pack","anthropics/knowledge-work-plugins","data","仪表盘","B","61.2","38.0","W3","1","reference","3","3","3","4","2","3","2","4","3","1","1","2","4","5","5","pass","pass","pass","pass","scheduler upload office_gen artifact connector:other","data exec","E2","med","按设定节奏重跑已保存报表并配经营快照上下文，合为一次交付"
"legal/regulatory-legal/cold-start-interview","anthropics/claude-for-legal","legal","档案访谈","B","61.2","50.0","W2","1","rewrite","3","4","3","0","3","3","4","4","4","1","3","2","2","3","5","pass","pass","pass","pass","profile upload connector:docs","legal ops","E2","med","监管插件入门访谈：建立监管机构关注清单、重要性阈值、政策库索引与信息源配置"
"dp/agent-orchestration-advisor","deanpeters/Product-Manager-Skills","product","Agent 工作流设计","D","61.2","94.0","—","1","reject","3","3","3","1","4","3","4","5","3","1","5","4","5","3","3","fail","pass","pass","pass","artifact subagent","product ops","E2","high","引导 PM 把重复性工作拆成并行专职 AI agent：判断是否适合、拆解、拓扑、边界与交接、战略意图、监控与评测计划"
"kwp/small-business/plan-payroll","anthropics/knowledge-work-plugins","finance","薪资核算","C","61.0","20.0","—","1","reject","3","2","2","3","4","1","3","4","5","1","1","1","1","5","5","pass","pass","pass","pass","connector:other connector:email upload artifact","finance","E2","med","串联现金预测、催款与发薪暂存，判断能否按时发薪并补足缺口"
"kwp/customer-support/customer-escalation","anthropics/knowledge-work-plugins","customer-support","升级处理","B","61.0","64.0","W2","1","rewrite","4","2","3","3","3","2","3","4","2","1","3","3","4","5","5","pass","pass","pass","pass","connector:other connector:crm connector:chat connector:pm connector:docs","support product engineering","E2","med","把支持问题打包成面向工程/产品/管理层的结构化升级简报"
"alir/marketing-skill/marketing-strategy-pmm","alirezarezvani/claude-skills","marketing","GTM定位","B","61.0","80.0","W1","1","rewrite","3","2","4","3","4","3","3","4","2","1","5","3","3","4","3","pass","pass","pass","pass","web artifact connector:transcript","marketing sales product","E2","med","产品营销：ICP 定义、Dunford 定位、竞品作战卡、发布分级与销售赋能、国际拓展"
